Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
,,,,,,,,,,,,,,,,,,,
D45ACPR10Desc,,item,Tools,newKey,Now that your 45 ACP Ammo has been converted.\n\nOpen this item to convert it back to 50% of its original resources.,,"Nachdem Ihre 45 ACP Munition umgewandelt wurde, öffnen Sie diesen Gegenstand, um ihn wieder auf 50 % seiner ursprünglichen Ressourcen zurückzuverwandeln.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
D408Desc,,item,Tools,newKey,Now that your 45 ACP Ammo has been converted.\n\nOpen this item to convert it back to 50% of its original resources.,,"Nachdem Ihre 45 ACP Munition umgewandelt wurde, öffnen Sie diesen Gegenstand, um ihn wieder auf 50 % seiner ursprünglichen Ressourcen zurückzuverwandeln.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
D50BMGDesc,,item,Tools,newKey,Now that your 45 ACP Ammo has been converted.\n\nOpen this item to convert it back to 50% of its original resources,,"Nachdem Ihre .45 ACP Munition umgewandelt wurde, öffnen Sie diesen Gegenstand, um sie wieder auf 50 % ihrer ursprünglichen Ressourcen zurückzuverwandeln.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
45ACPRoundDesc,,item,Tools,newKey,45 ACP Rounds are used in the M1911A as well as the HybridAK ACP,,Die Patrone 45 ACP wird sowohl in der M1911A als auch in der HybridAK ACP verwendet.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HD Desert Eagle,,item,Tools,newKey,HD Desert Eagle 357,,HD Desert Eagle 357,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
357MagDesc,,item,Tools,newKey,Deagle Rounds are used in the HD Desert Eagle 357,,Deagle-Runden werden in der HD Desert Eagle 357 verwendet.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DERoundDesc,,item,Tools,newKey,Deagle Rounds are used in the HD Desert Eagle,,Deagle-Runden werden in der HD Desert Eagle verwendet.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
50BMGRoundDesc,,item,Tools,newKey,50 BMG Rounds are used in the HD Arctic Warfare,,In HD Arctic Warfare werden 50 BMG-Runden verwendet.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
408RoundDesc,,item,Tools,newKey,408 Rounds are used in the HD CheyTac M300,,Im HD CheyTac M300 werden 408-mm-Patronen verwendet.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDBeeHiveDesc,blocks,Block,,,Craft this in the HD WorkBench And refine Bees for their honey.\n\nUses the following Addons. HD Honey Knife. HD Strainer. HD Extractor,,"Stelle dies an der HD-Werkbank her und veredle Bienen für ihren Honig. \n\nBenötigt folgende Add-ons: HD-Honigmesser, HD-Sieb, HD-Extraktor",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDBeeHive,blocks,Container,,,HD Bee Hive,,HD Bienenstock,,,,,,,,,,,,
HDHoneyExtractor,,item,Food,newKey,HD Honey Extractor,,HD Honigschleuder,,,,,,,,,,,,
HDHoneyKnife,,item,Food,newKey,HD Honey Knife,,HD Honey Knife,,,,,,,,,,,,
HDHoneyStrainer,,item,Food,newKey,HD Honey Strainer,,HD Honigsieb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDHoneyCombDesc,,item,Tools,newKey,Used in the HD Bee Hive to create HD Refined Sugar as well as HD Refined Honey.,,Wird im HD-Bienenstock zur Herstellung von HD-Raffinadezucker sowie HD-Raffinadehonig verwendet.,,,,,,,,,,,,
HDRefinedSugarDesc,,item,Tools,newKey,Used in certain types of recipes in the HD Bee Hive.,,Wird in bestimmten Rezepten im HD Bee Hive verwendet.,,,,,,,,,,,,
HDHoneyExtractorDesc,,item,Tools,newKey,Used to extract Honey in the HD Bee Hive.,,Wird zur Honiggewinnung im HD-Bienenstock verwendet.,,,,,,,,,,,,
HDHoneyKnifeDesc,,item,Tools,newKey,Used in the refined sugar proccess in the HD Bee Hive.,,Wird im Raffinationsprozess von Zucker im HD-Bienenstock verwendet.,,,,,,,,,,,,
HDHoneyStrainerDesc,,item,Tools,newKey,Used to strain and refine honey comb which is made inside the HD Bee Hive.,,"Wird zum Sieben und Verfeinern von Honigwaben verwendet, die im Inneren des HD-Bienenstocks hergestellt werden.",,,,,,,,,,,,
CuteBabyBeeDesc,,item,Tools,newKey,Cute baby Bumble Bee. Umm useful for something right !!.,,"Niedliche Babyhummel. Hmm, die ist bestimmt für irgendwas nützlich, oder?!",,,,,,,,,,,,
HoneyGlazedChickenWingsDesc,,item,Tools,newKey,Full of Energy. Great for Stamina Regen And Food.,,Voller Energie. Ideal zur Regeneration von Ausdauer und als Nahrung.,,,,,,,,,,,,
HDHoneyDesc,,item,Tools,newKey,A very powerful antibiotic for all those infections.,,Ein sehr wirksames Antibiotikum gegen all diese Infektionen.,,,,,,,,,,,,
HoneyGlazedChickenNuggetsDesc,,item,Tools,newKey,Full of Energy. Great for Stamina Regen Food and made from Cute Baby Chicks.,,Voller Energie. Hervorragend geeignet zur Regeneration von Ausdauer und hergestellt aus süßen Küken.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HoneyGlazedHamDesc,,item,Tools,newKey,Specially prepared Ham glazed with Honey.,,"Speziell zubereiteter, mit Honig glasierter Schinken.",,,,,,,,,,,,
HoneyGlazedCornFlakesDesc,,item,Tools,newKey,Breakfast on the Go. Great for Stamina Regen And Food.,,Frühstück für unterwegs. Ideal zur Regeneration von Ausdauer und Nahrungsaufnahme.,,,,,,,,,,,,
HoneySpeedBitesDesc,,item,Tools,newKey,Speed on the Go. Suck on one of these and hold on.,,Geschwindigkeit für unterwegs. Lutsch an einem davon und halt dich fest.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VehicleRepairKit,,item,Tools,newKey,A repair kit used to repair vehicles.,,Ein Reparaturset zur Instandsetzung von Fahrzeugen.,,,,,,,,,,,,
VehicleAirFilter,,item,Tools,newKey,Uve found a used vehicle air filter.,,Uve hat einen gebrauchten Fahrzeugluftfilter gefunden.,,,,,,,,,,,,
VehicleParts,,item,Tools,newKey,Uve found a used set of vehicle parts.,,Uve hat einen gebrauchten Satz Fahrzeugteile gefunden.,,,,,,,,,,,,
VehicleSparkPlugs,,item,Tools,newKey,Uve found a used set of vehicle spark plugs.,,Ich habe einen gebrauchten Satz Zündkerzen für ein Fahrzeug gefunden.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MotorBikeRepairKit,,item,Tools,newKey,A repair kit used to repair motorbikes.,,Ein Reparaturset zur Instandsetzung von Motorrädern.,,,,,,,,,,,,
MotorBikeAirFilter,,item,Tools,newKey,Uve found a used motorbike air filter.,,Uve hat einen gebrauchten Motorrad-Luftfilter gefunden.,,,,,,,,,,,,
MotorBikeParts,,item,Tools,newKey,Uve found a used set of motorbike parts.,,Ich habe einen gebrauchten Satz Motorradteile gefunden.,,,,,,,,,,,,
MotorBikeSparkPlugs,,item,Tools,newKey,Uve found a used set of motorbike spark plugs.,,Ich habe einen gebrauchten Satz Motorradzündkerzen gefunden.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDBoneKnuckles,,item,Tools,newKey,HD Bone Knuckles,,HD-Knochenknöchel,,,,,,,,,,,,
HDSteelKnuckles,,item,Tools,newKey,HD Steel Knuckles,,HD Stahlschlagringe,,,,,,,,,,,,
HDBoneKnucklesDesc,,item,Tools,newKey,Early game Bone Knuckles with a bit more Zest.\n\nNow you too can look like Wolverine.,,Frühes Spiel Bone Knuckles mit etwas mehr Schwung.\n\nJetzt kannst auch du wie Wolverine aussehen.,,,,,,,,,,,,
HDSteelKnucklesDesc,,item,Tools,newKey,Late game Steel Knuckles with a bit more Zest.\n\nNow you too can look like Wolverine.,,Steel Knuckles im späten Spiel mit etwas mehr Schwung.\n\nJetzt kannst auch du wie Wolverine aussehen.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
drinkJarGrainAlcohol,,item,Food,newKey,Grain Alcohol,,Getreidealkohol,,,,,,,,,,,,
drinkJarGrainAlcoholDesc,,item,Tools,newKey,100% Distilled Alcohol for use in medical items.,,100% destillierter Alkohol zur Verwendung in medizinischen Produkten.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDBicycleTurboUpgradeDesc,,item,Tools,newKey,Turbo Upgrade thats added to the Bicycle.,,"Turbo-Upgrade, das dem Fahrrad hinzugefügt wurde.",,,,,,,,,,,,
HDBicycleTurboUpgrade,,item,Food,newKey,HD Bicycle Turbo Upgrade,,HD Fahrrad-Turbo-Upgrade,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CamoesCarrackHammer,,item,Food,newKey,HD Camoes Carrack Hammer,,HD Camoes Carrack Hammer,,,,,,,,,,,,
CamoesCarrackHammerDesc,,item,Tools,newKey,The Carrack Hammer Decents from the Crab Sword of Portugal and was designed to be used by soldiers in ships and caravels in the Age of Discovery. Unlocks perkSkullCrusher L1,,Der Karackenhammer stammt vom Krabbenschwert Portugals ab und wurde für den Einsatz durch Soldaten auf Schiffen und Karavellen im Zeitalter der Entdeckungen entwickelt. Schaltet den Vorteil „Schädelbrecher Stufe 1“ frei.,,,,,,,,,,,,
CamoesCarrackMod1Desc,,item,Tools,newKey,Carrack Hammer Buff Bleeding x2,,Karackenhammer Buff Blutung x2,,,,,,,,,,,,
CamoesCarrackMod2Desc,,item,Tools,newKey,Carrack Hammer Buff Knockout,,Karackenhammer Buff Knockout,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ChromiumMasterDesc,,item,Tools,newKey,These Blocks are Indestructible and can not be Removed normally.\n\nOnce placed the only way to remove is to place Forged Chromium into your Inventory.\n\nThen as Admin You use the Chromium Wrench to Upgrade to the Haybale Block which can be picked up.,,"Diese Blöcke sind unzerstörbar und können nicht auf normalem Wege entfernt werden. \n\nNach dem Platzieren kann man sie nur entfernen, indem man Geschmiedetes Chrom in sein Inventar legt. \n\nAnschließend kann man als Administrator mit dem Chrom-Schraubenschlüssel den Heuballenblock aufwerten, der dann aufgehoben werden kann.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
+ForgedChromium,,item,Food,newKey,Forged Chromium,,Geschmiedetes Chrom,,,,,,,,,,,,
+ChromiumWrench,,item,Food,newKey,Chromium Wrench,,Chromschlüssel,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
+ChromiumBlock,blocks,Container,,,Chromium Block,,Chromblock,,,,,,,,,,,,
+ChromiumPillar100,blocks,Container,,,Chromium Pillar 100,,Chromsäule 100,,,,,,,,,,,,
+ChromiumPillar50,blocks,Container,,,Chromium Pillar 50,,Chromsäule 50,,,,,,,,,,,,
+ChromiumRamp,blocks,Container,,,Chromium Ramp,,Chromrampe,,,,,,,,,,,,
+ChromiumPole,blocks,Container,,,Chromium Pole,,Chromstange,,,,,,,,,,,,
+ChromiumBarsCentered,blocks,Container,,,Chromium Bars Centered,,Chromstangen zentriert,,,,,,,,,,,,
+ChromiumBars,blocks,Container,,,Chromium Bars,,Chromstangen,,,,,,,,,,,,
+ChromiumDoor,blocks,Container,,,Chromium Door,,Chromtür,,,,,,,,,,,,
+ChromiumHatch,blocks,Container,,,Chromium Hatch,,Chrom-Schlitz,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDHazmatMaskDesc,,item,Tools,newKey,Radiation Armor Pieces Are given at the end of the main quests.\n\nCrafted in the HD WorkBench using HD Hazmat Fiber.\nOnce all four armor pieces are worn they will protect you from all storm and hazard damage.,,"Strahlenschutz-Rüstungsteile erhält man am Ende der Hauptquests. \n\nHergestellt an der HD-Werkbank aus HD-Gefahrstofffasern. \nSobald alle vier Rüstungsteile angelegt sind, schützen sie vor jeglichem Sturm- und Gefahrenschaden.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
resourceBileExtract,,item,Food,newKey,Bile Extract,,Gallenextrakt,,,,,,,,,,,,
resourceBileExtractDesc,,item,Tools,newKey,Use in the HD WorkBench to make Acid.,,In der HD-Werkbank zur Herstellung von Säure verwenden.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DasTulips Milky Stout,,item,Food,newKey,DasTulip's Milky Stout,,DasTulip's Milky Stout,,,,,,,,,,,,
DasTulipsMilkyStoutDesc,,item,Tools,newKey,Brewed for a longer lasting affect.\n\nBuzzed Off Your Tits you fight like a Boss. Unlocks L1 LivingOffTheLand.,,Für eine länger anhaltende Wirkung gebraut. \n\nVöllig high kämpfst du wie ein Boss. Schaltet L1 LivingOffTheLand frei.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Resource Old Milk,,item,Food,newKey,Old Sour Milk,,Alte Sauermilch,,,,,,,,,,,,
ResourceOldMilkDesc,,item,Food,newKey,Old Sour Milk. Im sure it has its use.,,"Alte, saure Milch. Ich bin sicher, sie hat noch ihren Nutzen.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
apparelNerdGlasses,items,Clothes,,,DasTulip's Nerdy Glasses,,DasTulips nerdige Brille,,,,,,,,,,,,
SpawnTraderJoel,blocks,Container,,,Trader Joel,,Händler Joel,,,,,,,,,,,,
SpawnTraderRekt,blocks,Container,,,Trader Rekt,,Trader Rekt,,,,,,,,,,,,
SpawnTraderHugh,blocks,Container,,,Trader Hugh,,Händler Hugh,,,,,,,,,,,,
SpawnTraderBob,blocks,Container,,,Trader Bob,,Händler Bob,,,,,,,,,,,,
SpawnTraderJen,blocks,Container,,,Trader Jen,,Trader Jen,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SpawnTraderJoelDesc,blocks,Container,,,This Spawns Trader Joel.\n\nAvatar Enabled For Easier Manipulation.,,Dadurch wird Händler Joel erzeugt.\n\nAvatar aktiviert für einfachere Manipulation.,,,,,,,,,,,,
SpawnTraderRektDesc,blocks,Container,,,This Spawns Trader Rekt.\n\nAvatar Enabled For Easier Manipulation.,,Dies erzeugt Trader Rekt.\n\nAvatar aktiviert für einfachere Manipulation.,,,,,,,,,,,,
SpawnTraderHughDesc,blocks,Container,,,This Spawns Trader Hugh.\n\nAvatar Enabled For Easier Manipulation.,,Hier erscheint Händler Hugh.\n\nAvatar aktiviert für einfachere Manipulation.,,,,,,,,,,,,
SpawnTraderBobDesc,blocks,Container,,,This Spawns Trader Bob.\n\nAvatar Enabled For Easier Manipulation.,,Hiermit erscheint Händler Bob.\n\nAvatar aktiviert für einfachere Manipulation.,,,,,,,,,,,,
SpawnTraderJenDesc,blocks,Container,,,This Spawns Trader Jen.\n\nAvatar Enabled For Easier Manipulation.,,Dadurch wird Händler Jen erzeugt.\n\nAvatar aktiviert für einfachere Manipulation.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
meleeWpnBladeT0BoneKnife,,item,Tools,newKey,Bone Knife,,Knochenmesser,,,,,,,,,,,,
HDScrapIronShiv,,item,Tools,newKey,HD Scrap Iron Knife,,HD Schrottmesser,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HD WorkBench,blocks,Container,,,HD Work Bench,,HD-Werkbank,,,,,,,,,,,,
HD GunBench,blocks,Container,,,HD Gun Bench,,HD-Gewehrbank,,,,,,,,,,,,
HD AmmoBench,blocks,Container,,,HD Ammo Bench,,HD Munitionsbank,,,,,,,,,,,,
HD PicsBench,blocks,Container,,,HD Schematics Bench,,HD Schaltpläne Bench,,,,,,,,,,,,
HD WorkBench Schematic,,item,Food,newKey,HD Work Bench Schematic,,Schaltplan für HD-Werkbank,,,,,,,,,,,,
HD GunBench Schematic,,item,Food,newKey,HD Gun Bench Schematic,,Schematische Darstellung einer HD-Gewehrbank,,,,,,,,,,,,
HD PicsBench Schematic,,item,Food,newKey,HD Pics Bench Schematic,,HD Pics Bench Schematic,,,,,,,,,,,,
HD AmmoBench Schematic,,item,Food,newKey,HD Ammo Bench Schematic,,Schematische Darstellung der HD-Munitionsbank,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HD Grocery Supplies,blocks,Container,,,HD Food Supplies,,HD Lebensmittel,,,,,,,,,,,,
HD Grocery Supplies Unlocked,blocks,Container,,,HD Food Supplies Unlocked,,HD-Lebensmittelvorräte freigeschaltet,,,,,,,,,,,,
HD Duke Coin Supplies,blocks,Container,,,HD Coin Supplies,,HD Münzbedarf,,,,,,,,,,,,
HD Duke Coin Supplies Unlocked,blocks,Container,,,HD Coin Supplies Unlocked,,HD-Münzvorräte freigeschaltet,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HD PicsBench Schematic,,item,Food,newKey,HD Schematics Bench Schematic.,,HD-Schaltpläne für den Arbeitsplatz.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ammoSupply9mmDesc,,item,Tools,newKey,Youve found a box of 9mm Pistol Ammo,,Sie haben eine Schachtel 9-mm-Pistolenmunition gefunden.,,,,,,,,,,,,
ammoSupply45ACPDesc,,item,Tools,newKey,Youve found a box of 45mm ACP Pistol ammo,,Sie haben eine Schachtel Munition für 45-mm-ACP-Pistolen gefunden.,,,,,,,,,,,,
ammoSupply44MagDesc,,item,Tools,newKey,Youve found a box of .44mm Magnum ammo,,Sie haben eine Schachtel .44mm Magnum Munition gefunden.,,,,,,,,,,,,
ammoSupplyDE50Desc,,item,Tools,newKey,Youve found a box of Desert Eagle ammo,,Sie haben eine Schachtel Desert Eagle Munition gefunden.,,,,,,,,,,,,
ammoSupply408RoundDesc,,item,Tools,newKey,Youve found a box of 408mm Aniti Material ammo,,Sie haben eine Schachtel 408-mm-Antimaterialmunition gefunden.,,,,,,,,,,,,
AmmoSupply500AMDesc,,item,Tools,newKey,Youve found a box of 500mm AutoMax ammo,,Sie haben eine Schachtel 500-mm-AutoMax-Munition gefunden.,,,,,,,,,,,,
ammoSupply762mmDesc,,item,Tools,newKey,Youve found a box of 7.62mm Rifle ammo,,"Sie haben eine Schachtel 7,62-mm-Gewehrmunition gefunden.",,,,,,,,,,,,
ammoSupplyShotgunDesc,,item,Tools,newKey,Youve found a box of ShotGun ammo,,Du hast eine Schachtel Schrotmunition gefunden.,,,,,,,,,,,,
ammoSupplyShotgunSlugDesc,,item,Tools,newKey,Youve found a box of ShotGun Slug ammo,,Sie haben eine Schachtel Schrotmunition gefunden.,,,,,,,,,,,,
ammoSupplyBreachSlugDesc,,item,Tools,newKey,Youve found a box of ShotGun Breaching ammo,,Sie haben eine Schachtel ShotGun Breaching Munition gefunden.,,,,,,,,,,,,
ammoSupply50BMGRoundDesc,,item,Tools,newKey,Youve found a box of 50mm BMG ammo,,Sie haben eine Schachtel 50-mm-BMG-Munition gefunden.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GoldenCoinDesc,,item,Tools,newKey,This is a converted Coin to save space,,"Dies ist eine umgestaltete Münze, um Platz zu sparen.",,,,,,,,,,,,
HDBoneKnucklesDesc,,item,Tools,newKey,Bone Knuckles are deadly And cheap to make at the start,,Knochenknöchel sind tödlich und anfangs billig herzustellen.,,,,,,,,,,,,
HDBoneKnuckles,,item,Tools,newKey,HD Bone Knuckles,,HD-Knochenknöchel,,,,,,,,,,,,
HDUnionRoastedDesc,,item,Tools,newKey,A blend of the best ingredients to get you blasted first thing,,"Eine Mischung der besten Zutaten, die dich gleich morgens so richtig umhauen.",,,,,,,,,,,,
HDUnionRoasted,,item,Tools,newKey,HD Union Roasted,,HD Union Roasted,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FBDesc,,item,Tools,newKey,A Forged Brass Ingot is 1 of the ingredients of Congealed Metal.,,Ein geschmiedeter Messingbarren ist einer der Bestandteile von erstarrtem Metall.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FTDesc,,item,Tools,newKey,A Forged Titanium Ingot is 1 of the ingredients of Congealed Metal.,,Ein geschmiedeter Titanbarren ist einer der Bestandteile von erstarrtem Metall.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SPDesc,,item,Tools,newKey,Polished Steel is an amalgamation of Both Congealed Metal And Crushed Sand and is used in high end polishes and is made to resist explosion damage and have higher HP.\n\nThis item is crafted using the HD Work Bench.,,Polierter Stahl ist eine Mischung aus erstarrtem Metall und zerkleinertem Sand und wird für hochwertige Polituren verwendet. Er ist explosionsbeständig und hat höhere Trefferpunkte. \n\nDieser Gegenstand wird an der HD-Werkbank hergestellt.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TPDesc,,item,Tools,newKey,Polished Titanium is an amalgamation of Both Congealed Metal And Steel Polish and is used in high end polishes and is made to resist explosion damage and have higher HP.\n\nThis item is crafted using the HD Work Bench.,,Poliertes Titan ist eine Mischung aus erstarrtem Metall und Stahlpolitur und wird in hochwertigen Polituren verwendet. Es ist explosionsbeständig und hat höhere Trefferpunkte. \n\nDieser Gegenstand wird an der HD-Werkbank hergestellt.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CMDesc,,item,Tools,newKey,Congealed Metal is an amalgamation of Both Brass And Titanium used in high end polishes.\n\nThis item is crafted using the HD Work Bench.,,"Erstarrtes Metall ist eine Legierung aus Messing und Titan, die in hochwertigen Polituren verwendet wird. \n\nDieser Gegenstand wird an der HD-Werkbank hergestellt.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HollowTipDesc,,item,Tools,newKey,A high powered hollow tip used in high power ammo type production.,,"Eine Hochleistungs-Hohlspitzspitze, die bei der Herstellung von Hochleistungsmunition verwendet wird.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDMacheteDesc,,item,Tools,newKey,The highest quality Machete given as a Reward.,,Als Belohnung wird eine Machete von höchster Qualität überreicht.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDGunPowderBundleDesc,,item,Tools,newKey,1k Bundle of GunPowder.,,1k Bündel Schießpulver.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HDammoGasCanBundleDesc,,item,Tools,newKey,10k Bundle of Fuel.,,10.000 Treibstoffpakete.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FatSoakedLogBundleDesc,,item,Tools,newKey,Wood logs soaked in fat so they burn much longer.,,"Holzscheite werden in Fett getränkt, damit sie viel länger brennen.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GiantRabbit,entityclasses,Entity,,,Giant Rabbit,,Riesenkaninchen,,,,,,,,,,,,
GiantRabbitFire,entityclasses,Entity,,,Giant Burning Rabbit,,Riesiges brennendes Kaninchen,,,,,,,,,,,,
GiantRabbitRad,entityclasses,Entity,,,Giant Radiated Rabbit,,Riesen-Strahlenkaninchen,,,,,,,,,,,,
GiantChicken,entityclasses,Entity,,,Giant Chicken,,Riesenhuhn,,,,,,,,,,,,
GiantChickenFire,entityclasses,Entity,,,Giant Burning Chicken,,Riesiges brennendes Huhn,,,,,,,,,,,,
GiantChickenRad,entityclasses,Entity,,,Giant Radiated Chicken,,Riesiges verstrahltes Huhn,,,,,,,,,,,,
GiantSnake,entityclasses,Entity,,,Giant Snake,,Riesenschlange,,,,,,,,,,,,
GiantSnakeFire,entityclasses,Entity,,,Giant Burning Snake,,Riesige brennende Schlange,,,,,,,,,,,,
GiantSnakeRad,entityclasses,Entity,,,Giant Radiated Snake,,Riesen-Strahlenschlange,,,,,,,,,,,,
GiantUndeadVulture,entityclasses,Entity,,,Giant Undead Vulture,,Riesiger untoter Geier,,,,,,,,,,,,
GiantUndeadVultureFire,entityclasses,Entity,,,Giant Burning Undead Vulture,,Riesiger brennender untoter Geier,,,,,,,,,,,,
GiantUndeadVultureRad,entityclasses,Entity,,,Giant Radiated Undead Vulture,,Riesiger verstrahlter Untoter Geier,,,,,,,,,,,,
GiantBoar,entityclasses,Entity,,,Giant Crisp P Bacon,,Riesiger knuspriger P-Speck,,,,,,,,,,,,
GiantBoarFire,entityclasses,Entity,,,Giant Burning Crisp P Bacon,,"Riesiger, knuspriger Speck",,,,,,,,,,,,
GiantBoarRad,entityclasses,Entity,,,Giant Radiated Crisp P Bacon,,"Riesiger, knuspriger, bestrahlter Speck",,,,,,,,,,,,
GiantUndeadHound,entityclasses,Entity,,,Giant Undead Hound,,Riesiger untoter Hund,,,,,,,,,,,,
GiantUndeadHoundFire,entityclasses,Entity,,,Giant Burning Undead Hound,,Riesiger brennender untoter Hund,,,,,,,,,,,,
GiantUndeadHoundRad,entityclasses,Entity,,,Giant Radiated Undead Hound,,Riesiger verstrahlter Untoter Hund,,,,,,,,,,,,
ZombieDogPup01,entityclasses,Entity,,,Zombie Chihuahua,,Zombie-Chihuahua,,,,,,,,,,,,
ElectroDemolisher,entityclasses,Entity,,,Electrified Demolisher,,Elektrifizierter Abrissbagger,,,,,,,,,,,,
GiantDemolisher,entityclasses,Entity,,,Giant Demolisher,,Riesenzerstörer,,,,,,,,,,,,
GiantDemolisherFire,entityclasses,Entity,,,Giant Burning Demolisher,,Riesiger brennender Zerstörer,,,,,,,,,,,,
GiantDemolisherRad,entityclasses,Entity,,,Giant Radiated Demolisher,,"Riesiger, verstrahlter Zerstörer",,,,,,,,,,,,
zombiePhantasm,entityclasses,Entity,,,Phantasm,,Phantasma,,,,,,,,,,,,
zombiePhantasmFire,entityclasses,Entity,,,Burning Phantasm,,Brennendes Phantasma,,,,,,,,,,,,
zombiePhantasmRAD,entityclasses,Entity,,,Radiated Phantasm,,Strahlendes Phantasma,,,,,,,,,,,,
zombiePhantasmElectro,entityclasses,Entity,,,Electrified Phantasm,,Elektrisiertes Phantasma,,,,,,,,,,,,
zombiePartyGirl,entityclasses,Entity,,,Hooker,,Nutte,,,,,,,,,,,,
zombiePartyGirlFeral,entityclasses,Entity,,,Feral Hooker,,Wilde Prostituierte,,,,,,,,,,,,
MinionZombieBearBaby,entityclasses,Entity,,,Minion ZombieBear Baby,,Minion ZombieBär Baby,,,,,,,,,,,,
MinionZombieBearTeen,entityclasses,Entity,,,Minion ZombieBear Teen,,Minion ZombieBär Teenager,,,,,,,,,,,,
MinionZombieBearRegular,entityclasses,Entity,,,Minion ZombieBear Regular,,Minion ZombieBear Regular,,,,,,,,,,,,
MinionZombieBearHuge,entityclasses,Entity,,,Minion ZombieBear Huge,,Minion ZombieBär riesig,,,,,,,,,,,,
TitanMutated,entityclasses,Entity,,,Titan Mutated,,Titan Mutiert,,,,,,,,,,,,
TitanBigMamma,entityclasses,Entity,,,Titan Big Mamma,,Titan Big Mamma,,,,,,,,,,,,
TitanLumberJack,entityclasses,Entity,,,Titan Lumber Jack,,Titan Lumber Jack,,,,,,,,,,,,
TitanBiker,entityclasses,Entity,,,Titan Biker,,Titan Biker,,,,,,,,,,,,
TitanBurnt,entityclasses,Entity,,,Titan Burnt,,Titan verbrannt,,,,,,,,,,,,
TitanHazmat,entityclasses,Entity,,,Titan Hazmat,,Titan Hazmat,,,,,,,,,,,,
TitanRentACop,entityclasses,Entity,,,Titan Rent 'A' Cop,,Titan Rent 'A' Cop,,,,,,,,,,,,
TitanGeneral,entityclasses,Entity,,,Titan General,,Titan General,,,,,,,,,,,,
TitanSpider,entityclasses,Entity,,,Titan Spider,,Titanenspinne,,,,,,,,,,,,
TitanHooker,entityclasses,Entity,,,Titan Hooker,,Titan Hooker,,,,,,,,,,,,
TitanScreamer,entityclasses,Entity,,,Titan Screamer,,Titan Screamer,,,,,,,,,,,,
JuggernautRentACop,entityclasses,Entity,,,Juggernaut Officer,,Juggernaut Officer,,,,,,,,,,,,
animalChicken,entityclasses,Entity,,,Chicken,,Huhn,,,,,,,,,,,,
animalRabbit,entityclasses,Entity,,,Rabbit,,Kaninchen,,,,,,,,,,,,
animalMountainLion,entityclasses,Entity,,,Mountain Lion,,Puma,,,,,,,,,,,,
